samples,locations
a boy with whom I was in relationship with called me at a place and beat me very badly. He had been harassing me for long time. That he slapped...,"Dwarka, Dwarka, Gujarat 361335, India"
I was stalked in this street and cat-called.,"45, Nagarabhavi Main Rd, Huchappa Layout, Govindaraja Nagar Ward, Shivananda Nagar, Vijayanagar, Bengaluru, Karnataka 560072, India"
groped in the middle of the road,"Jhaveri Building, Jagannath Bhatankar Marg, Krishna Nagar, Parel, Mumbai, Maharashtra 400012, India"
I go to the race course for early morning runs. On multiple occasions I have noticed a man following us while we run. Once he followed us on...,"Camp, Pune, Maharashtra, India"
A man sat down with me and my friend at the table and started commenting about my looks and when asked to be left alone he started touching...,"BunsenstraÃŸe 15, 34127 Kassel, Deutschland"
The harasser (a guy) groped my boobs and butt for almost a week while we were working as servers. I resigned a week later.,"Ioi Resort, Putrajaya, Selangor, Malaysia"
Bus eve teasing,"26, Electronic City Flyover, BTM Phase 1, Electronics City Phase 1, Electronic City, Bengaluru, Karnataka 560100, India"
stalking near bandra station,"Unit 2, Kher Nagar Rd No 4, Kherwadi, Bandra East, Mumbai, Maharashtra 400051, India"
stalking near bandra station,"Unit 2, Kher Nagar Rd No 4, Kherwadi, Bandra East, Mumbai, Maharashtra 400051, India"
Two guys stalked me on my way to college,"Unit 2, Kher Nagar Rd No 4, Kherwadi, Bandra East, Mumbai, Maharashtra 400051, India"
An Indian man stand closely to me; from back and tried to grope my butt but luckily i was carrying a backpack,"Kuala Lumpur Station, Kampung Attap, 50000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia"
"I was walking in the mall or on the streets, and a lot men tend to stare unnecessarily. It's not that I even wear provocative clothes, but because...","3, Jalan PJS 11/15, Bandar Sunway, 47500 Subang Jaya, Selangor, Malaysia"
Catcalling me even I ignored them,"Persiaran Kolej, Bandar Seri Putra, 43000 Kajang, Selangor, Malaysia"
I was locked in the car with the guy in a basement carpark. He forced kiss my neck and touched my body,"Ss 16, Subang Jaya, Selangor, Malaysia"
Some guy touching a woman without consent. Suddenly the woman scream and starts crying.,"Federal Hwy, 59100 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia"
They catcalled me.,"1, Jalan PJS 11/7, Bandar Sunway, 47500 Petaling Jaya, Selangor, Malaysia"
He touch my shoulder while driving and touch my lips without any purpose.,"Dato' Keramat, Kampung Datuk Keramat, 54000 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia"
